ISU,GENDER,CITIZENSHIP,EXAM_TYPE,EXAM_SUBJECT_1,EXAM_SUBJECT_2,EXAM_SUBJECT_3,ADMITTED_EXAM_1,ADMITTED_EXAM_2,ADMITTED_EXAM_3,ADMITTED_SUBJECT_PRIZE_LEVEL,REGION_ID
8746993777733478780,Ж,15601729049989747827,ЕГЭ,70786669040476600,5533732657842394915,8388269026169219461,88.0,91.0,81.0,ЕГЭ,4877310761925081124
18279003839105282485,М,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,84.0,89.0,96.0,ЕГЭ,4877310761925081124
17601399077733331421,М,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,66.0,78.0,93.0,ЕГЭ,4877310761925081124
4111128904589594590,М,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,100.0,89.0,80.0,ЕГЭ,4877310761925081124
5943608672516320930,М,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,84.0,86.0,91.0,ЕГЭ,4877310761925081124
5758306092028354728,М,15601729049989747827,ЕГЭ,11200029731125595475,8388269026169219461,14462659375807213512,66.0,68.0,83.0,ЕГЭ,4877310761925081124
14013138270783219044,М,15601729049989747827,ЕГЭ,70786669040476600,8388269026169219461,5533732657842394915,70.0,66.0,70.0,ЕГЭ,15356981229653043462
7894989788213916004,М,15601729049989747827,ЕГЭ,70786669040476600,5533732657842394915,8388269026169219461,70.0,61.0,72.0,ЕГЭ,8027359186010888546
15480399002422430447,М,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,84.0,67.0,89.0,ЕГЭ,4877310761925081124
13806015751261624584,М,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,74.0,97.0,91.0,ЕГЭ,4877310761925081124
4847477995649495063,Ж,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,60.0,81.0,91.0,ЕГЭ,16228771858762793341
15154696822062798738,М,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,66.0,72.0,88.0,ЕГЭ,4877310761925081124
12509351068385216188,М,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,76.0,75.0,92.0,ЕГЭ,4877310761925081124
4080914535946562748,М,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,84.0,86.0,93.0,ЕГЭ,4877310761925081124
15984501334223481618,Ж,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,66.0,100.0,90.0,ЕГЭ,8027359186010888546
7920944613164998493,М,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,92.0,100.0,93.0,ЕГЭ,4877310761925081124
15759592318230620639,Ж,15601729049989747827,ВИ,70786669040476600,8388269026169219461,5533732657842394915,82.0,89.0,83.0,ЕГЭ,4877310761925081124
4456173831566198143,Ж,15601729049989747827,ВИ,70786669040476600,5533732657842394915,8388269026169219461,100.0,94.0,93.0,ЕГЭ,17341978997214072207
9536233128805962858,Ж,15601729049989747827,ЕГЭ,70786669040476600,8388269026169219461,5533732657842394915,68.0,82.0,70.0,ЕГЭ,4877310761925081124
16221352727496296442,М,15601729049989747827,ЕГЭ,70786669040476600,8388269026169219461,5533732657842394915,100.0,82.0,100.0,ЕГЭ,16925236604731044042
11237732004374784634,М,15601729049989747827,ЕГЭ,70786669040476600,5533732657842394915,8388269026169219461,70.0,81.0,73.0,ЕГЭ,4877310761925081124
16978579041470007980,М,15601729049989747827,ЕГЭ,70786669040476600,5533732657842394915,8388269026169219461,66.0,100.0,84.0,ЕГЭ,13699487308698232023
271075593611197357,М,15601729049989747827,ЕГЭ,70786669040476600,5533732657842394915,8388269026169219461,100.0,94.0,72.0,ЕГЭ,12731406122716445910
211690825419868263,Ж,15601729049989747827,ВИ,70786669040476600,8388269026169219461,5533732657842394915,84.0,92.0,92.0,ЕГЭ,4877310761925081124
14905091886463525155,Ж,15601729049989747827,ВИ,70786669040476600,8388269026169219461,5533732657842394915,84.0,96.0,86.0,ЕГЭ,4877310761925081124
299455190124019595,М,15601729049989747827,ВИ,70786669040476600,8388269026169219461,5533732657842394915,87.0,64.0,61.0,ЕГЭ,4877310761925081124
7916718273436749681,М,15601729049989747827,ВИ,70786669040476600,8388269026169219461,5533732657842394915,61.0,88.0,75.0,ЕГЭ,4877310761925081124
7217042316822723335,М,15601729049989747827,ВИ,70786669040476600,8388269026169219461,5533732657842394915,84.0,92.0,69.0,ЕГЭ,4877310761925081124
13279264928399361767,М,15601729049989747827,ВИ,70786669040476600,8388269026169219461,5533732657842394915,77.0,96.0,72.0,ЕГЭ,4877310761925081124
9022195967315801882,М,15601729049989747827,ВИ,70786669040476600,8388269026169219461,5533732657842394915,66.0,88.0,81.0,ЕГЭ,4877310761925081124
16132443772339459616,М,15601729049989747827,ВИ,70786669040476600,8388269026169219461,5533732657842394915,93.0,72.0,64.0,ЕГЭ,4877310761925081124
3610912436624619635,Ж,15601729049989747827,ВИ,70786669040476600,8388269026169219461,5533732657842394915,84.0,96.0,86.0,ЕГЭ,4877310761925081124
2202710647299129216,Ж,15601729049989747827,ВИ,70786669040476600,8388269026169219461,14462659375807213512,86.0,96.0,78.0,ЕГЭ,13212234532599156514
13437673162273992639,М,15601729049989747827,ВИ,70786669040476600,8388269026169219461,14462659375807213512,62.0,68.0,89.0,ЕГЭ,4877310761925081124
17921923375179468475,М,15601729049989747827,ВИ,70786669040476600,8388269026169219461,14462659375807213512,84.0,92.0,88.0,ЕГЭ,4877310761925081124
11646870631214609037,Ж,15601729049989747827,ЕГЭ,70786669040476600,5533732657842394915,8388269026169219461,86.0,75.0,95.0,ЕГЭ,8205464320989047869
14309492505924848884,Ж,15601729049989747827,ЕГЭ,70786669040476600,5533732657842394915,8388269026169219461,64.0,73.0,79.0,ЕГЭ,4877310761925081124
587681999856856783,М,15601729049989747827,ЕГЭ,70786669040476600,5533732657842394915,8388269026169219461,86.0,91.0,82.0,ЕГЭ,4877310761925081124
14987580189789926019,М,15601729049989747827,ЕГЭ,70786669040476600,5533732657842394915,8388269026169219461,80.0,97.0,98.0,ЕГЭ,9081090908022044151
8678962302226006639,М,15601729049989747827,ЕГЭ,70786669040476600,5533732657842394915,8388269026169219461,90.0,94.0,71.0,ЕГЭ,4877310761925081124
5949470564810902852,М,15601729049989747827,ЕГЭ,70786669040476600,5533732657842394915,8388269026169219461,82.0,77.0,84.0,ЕГЭ,4877310761925081124
16672468894828082696,Ж,15601729049989747827,ЕГЭ,70786669040476600,5533732657842394915,8388269026169219461,72.0,61.0,92.0,ЕГЭ,12131394604103335606
3882936577600782419,М,18139353426717523009,ВИ,5533732657842394915,70786669040476600,8388269026169219461,80.0,100.0,84.0,ЕГЭ,5087927234000983963
10075765262002751042,М,15601729049989747827,ЕГЭ,70786669040476600,5533732657842394915,8388269026169219461,78.0,83.0,73.0,ЕГЭ,7378542743194628944
6358239658970494392,М,15601729049989747827,ЕГЭ,70786669040476600,5533732657842394915,8388269026169219461,78.0,79.0,92.0,ЕГЭ,698269158467562988
