ISU,KURS,DATE_START,DATE_END,PRIZNAK,MAIN_PLAN
4111128904589594590,2,2017-09-01,2018-08-31 00:00:00,обучен,1888061104212561891
4111128904589594590,3,2018-09-01,2018-11-02 00:00:00,обучен,1888061104212561891
4111128904589594590,3,2018-11-03,2019-08-31 00:00:00,обучен,1888061104212561891
4111128904589594590,4,2019-09-01,2020-07-06 00:00:00,обучен,1888061104212561891
5943608672516320930,2,2017-09-01,2018-08-31 00:00:00,обучен,2318124975100570268
5943608672516320930,3,2018-09-01,2019-08-31 00:00:00,обучен,2318124975100570268
5943608672516320930,4,2019-09-01,2020-08-30 00:00:00,обучен,2318124975100570268
18279003839105282485,2,2017-09-01,2018-08-31 00:00:00,обучен,1888061104212561891
18279003839105282485,3,2018-09-01,2019-03-03 00:00:00,обучен,1888061104212561891
17601399077733331421,2,2017-09-01,2018-08-31 00:00:00,обучен,1888061104212561891
17601399077733331421,3,2018-09-01,2019-02-04 00:00:00,обучен,1888061104212561891
15154696822062798738,2,2017-09-01,2018-11-21 00:00:00,обучен,1888061104212561891
12509351068385216188,2,2017-09-01,2018-04-01 00:00:00,обучен,538504927009081539
4080914535946562748,2,2017-09-01,2018-08-31 00:00:00,обучен,2318124975100570268
4080914535946562748,3,2018-09-01,2018-10-01 00:00:00,обучен,2318124975100570268
15984501334223481618,2,2017-09-01,2018-08-31 00:00:00,обучен,2318124975100570268
15984501334223481618,3,2018-09-01,2018-09-19 00:00:00,обучен,2318124975100570268
7920944613164998493,2,2017-09-01,2018-08-31 00:00:00,обучен,4659528030745229553
7920944613164998493,3,2018-09-01,2019-05-05 00:00:00,обучен,4659528030745229553
7920944613164998493,2,2019-05-06,2019-08-31 00:00:00,отчисл,4659528030745229553
7920944613164998493,3,2019-09-01,2019-12-25 00:00:00,обучен,7432011864087186134
7920944613164998493,3,2019-12-26,2020-08-31 00:00:00,академ,7432011864087186134
7920944613164998493,3,2020-09-01,2021-04-08 00:00:00,обучен,14027966425105557844
15759592318230620639,2,2017-09-01,2018-08-31 00:00:00,обучен,2308869398595984949
